"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Total
258,Holy See,23,336,I,0.3
259,Italy,,380,B,4.3
260,Malta,,470,B,3.3
261,Montenegro,,499,B,..
262,North Macedonia,,807,B,2.8
263,Portugal,,620,B,4.0
264,San Marino,,674,C,2.0
265,Serbia,24,688,B,43.4
266,Slovenia,,705,B,-0.4
267,Spain,25,724,B,4.3
268,Western Europe,,926,,2.4
269,Austria,,40,B,2.4
270,Belgium,,56,B,0.1
271,France,,250,B,0.6
272,Germany,,276,B,4.6
273,Liechtenstein,,438,B,4.0
274,Luxembourg,,442,B,2.1
275,Monaco,,492,B,0.7
276,Netherlands,,528,B,2.6
277,Switzerland,,756,B,1.2
278,NORTHERN AMERICA,,918,,3.8
279,Bermuda,,60,B,1.2
280,Canada,,124,B,2.3
281,Greenland,,304,B,-5.3
282,Saint Pierre and Miquelon,,666,B,3.7
283,United States of America,,840,B,4.0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,United Nations,
,,,,Population Division,
,,,,Department of Economic and Social Affairs,
,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,
,,,,"Table 6 - Estimated refugee stock (including asylum seekers) at mid-year by major area, region, country or area, 1990-2019",
,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",
,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Estimated refugee stock (including asylum seekers) at mid-year (both sexes)
,,,,,1990
1,WORLD,,900,,"18,977,581"
2,UN development groups,,,,..
3,More developed regions,b,901,,"2,042,750"
4,Less developed regions,c,902,,"16,934,831"
5,Least developed countries,d,941,,"5,048,975"
6,"Less developed regions, excluding least developed countries",,934,,"11,885,856"
7,World Bank income groups,,,,..
8,High-income countries,e,1503,,"2,127,921"
9,Middle-income countries,e,1517,,"12,615,251"
10,Upper-middle-income countries,e,1502,,"6,347,793"
11,Lower-middle-income countries,e,1501,,"6,267,458"
12,Low-income countries,e,1500,,"4,227,808"
13,No income group available,e,1518,,"6,601"
14,Geographic regions,,,,..
15,Africa,,903,,"5,697,283"
16,Asia,,935,,"10,038,834"
17,Europe,,908,,"1,323,376"
18,Latin America and the Caribbean,,904,,"1,197,274"
19,Northern America,,905,,"610,144"
20,Oceania,,909,,"110,670"
21,Sustainable Development Goal (SDG) regions,f,,,..
22,SUB-SAHARAN AFRICA,,947,,"4,494,798"
23,Eastern Africa,,910,,"3,177,187"
24,Burundi,,108,B R,"267,929"
25,Comoros,,174,B,0
26,Djibouti,,262,B R,"54,508"
27,Eritrea,,232,I,0
28,Ethiopia,,231,B R,"741,965"
29,Kenya,,404,B R,"14,249"
30,Madagascar,,450,C,0
31,Malawi,,454,B R,"874,614"
32,Mauritius,1,480,C,0
33,Mayotte,,175,B,0
34,Mozambique,,508,B R,420
35,Réunion,,638,B,0
36,Rwanda,,646,B R,"23,601"
37,Seychelles,,690,B,0
38,Somalia,,706,I R,"460,000"
39,South Sudan,,728,B R,..
40,Uganda,,800,B R,"145,718"
41,United Republic of Tanzania,2,834,B R,"265,184"
42,Zambia,,894,B R,"138,049"
43,Zimbabwe,,716,B R,"190,950"
44,Middle Africa,,911,,"447,234"
45,Angola,,24,B R,"12,000"
46,Cameroon,,120,B,"49,876"
47,Central African Republic,,140,C,"3,389"
48,Chad,,148,B R,0
49,Congo,,178,B,"2,990"
50,Democratic Republic of the Congo,,180,B R,"378,562"
51,Equatorial Guinea,,226,C,0
52,Gabon,,266,C,417
53,Sao Tome and Principe,,678,C,0
54,Southern Africa,,913,,"135,525"
55,Botswana,,72,B,"1,220"
56,Eswatini,,748,B R,"42,074"
57,Lesotho,,426,C R,"2,231"
58,Namibia,,516,B,0
59,South Africa,,710,B R,"90,000"
60,Western Africa,,914,,"734,852"
61,Benin,,204,C B R,657
62,Burkina Faso,,854,B R,350
63,Cabo Verde,,132,B,0
64,Côte d'Ivoire,,384,C B,"136,381"
65,Gambia,,270,B,39
66,Ghana,,288,B,"4,102"
67,Guinea,,324,C B R,"325,000"
68,Guinea-Bissau,,624,B R,"3,004"
69,Liberia,,430,B,125
70,Mali,,466,B R,"13,411"
71,Mauritania,,478,C R,"60,000"
72,Niger,,562,B R,792
73,Nigeria,,566,C R,"3,571"
74,Saint Helena,3,654,C,0
75,Senegal,,686,B R,"58,113"
76,Sierra Leone,,694,B R,"125,830"
77,Togo,,768,C R,"3,477"
78,NORTHERN AFRICA AND WESTERN ASIA,,1833,,"3,769,356"
79,Northern Africa,,912,,"1,202,485"
80,Algeria,,12,B R,"169,107"
81,Egypt,,818,B R,"1,991"
82,Libya,,434,C,0
83,Morocco,,504,C,307
84,Sudan,4,729,B R,"1,031,050"
85,Tunisia,,788,C,30
86,Western Sahara,,732,I,0
87,Western Asia,,922,,"2,566,871"
88,Armenia,,51,B R,..
89,Azerbaijan,5,31,B R,..
90,Bahrain,,48,C,"1,780"
91,Cyprus,6,196,B,17
92,Georgia,7,268,B,..
93,Iraq,,368,C R,900
94,Israel,,376,B R,0
95,Jordan,,400,C R,"929,482"
96,Kuwait,,414,C R,"30,000"
97,Lebanon,,422,B R,"305,499"
98,Oman,,512,C,0
99,Qatar,,634,C,0
100,Saudi Arabia,,682,C R,"33,261"
101,State of Palestine,8,275,B,"910,637"
102,Syrian Arab Republic,,760,C R,"282,794"
103,Turkey,,792,B R,"30,534"
104,United Arab Emirates,,784,C R,433
105,Yemen,,887,CR,"41,534"
106,CENTRAL AND SOUTHERN ASIA,,921,,"7,011,227"
107,Central Asia,,5500,,"3,000"
108,Kazakhstan,,398,B,..
109,Kyrgyzstan,,417,B,..
110,Tajikistan,,762,B,"3,000"
111,Turkmenistan,,795,B,..
112,Uzbekistan,,860,B,..
113,Southern Asia,,5501,,"7,008,227"
114,Afghanistan,,4,B,25
115,Bangladesh,,50,B R,73
116,Bhutan,,64,B,0
117,India,,356,B R,"212,743"
118,Iran (Islamic Republic of),,364,B R,"3,512,201"
119,Maldives,,462,C,0
120,Nepal,,524,B R,"17,325"
121,Pakistan,,586,B R,"3,265,845"
122,Sri Lanka,,144,B R,15
123,EASTERN AND SOUTH-EASTERN ASIA,,1832,,"460,736"
124,Eastern Asia,,906,,"302,759"
125,China,9,156,C,"285,788"
126,"China, Hong Kong SAR",10,344,B,"10,092"
127,"China, Macao SAR",11,446,B,0
128,Dem. People's Republic of Korea,,408,I,0
129,Japan,,392,C,"6,649"
130,Mongolia,,496,C,0
131,Republic of Korea,,410,C,230
132,South-Eastern Asia,,920,,"157,977"
133,Brunei Darussalam,,96,B,0
134,Cambodia,,116,B,0
135,Indonesia,,360,B R,"2,138"
136,Lao People's Democratic Republic,,418,C R,0
137,Malaysia,12,458,C R,"14,862"
138,Myanmar,,104,C,0
139,Philippines,,608,C R,"19,860"
140,Singapore,,702,B,146
141,Thailand,,764,B R,"99,821"
142,Timor-Leste,,626,B,..
143,Viet Nam,,704,C R,"21,150"
144,LATIN AMERICA AND THE CARIBBEAN,,1830,,"1,197,274"
145,Caribbean,,915,,"6,632"
146,Anguilla,,660,B,0
147,Antigua and Barbuda,,28,B,0
148,Aruba,,533,B,0
149,Bahamas,,44,B,0
150,Barbados,,52,B,0
151,British Virgin Islands,,92,B,0
152,"Bonaire, Sint Eustatius and Saba",13,535,B,0
153,Cayman Islands,,136,C,0
154,Cuba,,192,B,"3,989"
155,Curaçao,,531,B,..
156,Dominica,,212,B,0
157,Dominican Republic,,214,B,"2,643"
158,Grenada,,308,B,0
159,Guadeloupe,14,312,B,0
160,Haiti,,332,B,0
161,Jamaica,,388,B,0
162,Martinique,,474,B,0
163,Montserrat,,500,B,0
164,Puerto Rico,,630,B,0
165,Saint Kitts and Nevis,,659,B,0
166,Saint Lucia,,662,B,0
167,Saint Vincent and the Grenadines,,670,B,0
168,Sint Maarten (Dutch part),,534,B,..
169,Trinidad and Tobago,,780,B,0
170,Turks and Caicos Islands,,796,B,0
171,United States Virgin Islands,,850,B,0
172,Central America,,916,,"1,162,216"
173,Belize,,84,B R ,"30,404"
174,Costa Rica,,188,B R,"277,505"
175,El Salvador,,222,B R,"20,515"
176,Guatemala,,320,B R,"223,239"
177,Honduras,,340,B R,"237,144"
178,Mexico,,484,B R,"356,454"
179,Nicaragua,,558,B R,"15,605"
180,Panama,,591,B,"1,350"
181,South America,,931,,"28,426"
182,Argentina,,32,B,"12,185"
183,Bolivia (Plurinational State of),,68,B,235
184,Brazil,,76,B,"5,333"
185,Chile,,152,B,179
186,Colombia,,170,B,580
187,Ecuador,,218,B R,634
188,Falkland Islands (Malvinas),15,238,B,0
189,French Guiana,,254,B,"6,601"
190,Guyana,,328,B,0
191,Paraguay,,600,B,66
192,Peru,,604,B,724
193,Suriname,,740,C,52
194,Uruguay,,858,B,87
195,Venezuela (Bolivarian Republic of),,862,B,"1,750"
199,OCEANIA,,909,,"110,670"
196,Australia / New Zealand,,927,,"102,581"
197,Australia,16,36,B,"97,915"
198,New Zealand,,554,B,"4,666"
200,Melanesia,,928,,"8,089"
201,Fiji,,242,B,0
202,New Caledonia,,540,B,0
203,Papua New Guinea,,598,C R,"8,089"
204,Solomon Islands,,90,B,0
205,Vanuatu,,548,B,0
206,Micronesia,,954,,0
207,Guam,,316,B,0
208,Kiribati,,296,B,0
209,Marshall Islands,,584,B,0
210,Micronesia (Fed. States of),,583,B,0
211,Nauru,,520,C,0
212,Northern Mariana Islands,,580,B,0
213,Palau,,585,B,0
214,Polynesia,17,957,,0
215,American Samoa,,16,B,0
216,Cook Islands,,184,B,0
217,French Polynesia,,258,B,0
218,Niue,,570,B,0
219,Samoa,,882,B,0
220,Tokelau,,772,B,0
221,Tonga,,776,B,0
222,Tuvalu,,798,C,0
223,Wallis and Futuna Islands,,876,B,0
224,EUROPE AND NORTHERN AMERICA,,1829,,"1,933,520"
225,EUROPE,,917,,"1,323,376"
226,Eastern Europe,,923,,"45,774"
227,Belarus,,112,B,..
228,Bulgaria,,100,B,0
229,Czechia,,203,C,..
230,Hungary,,348,B R,"45,123"
231,Poland,,616,B,0
232,Republic of Moldova,18,498,B,..
233,Romania,,642,B,651
234,Russian Federation,,643,B,..
235,Slovakia,,703,B,..
236,Ukraine,19,804,B,..
237,Northern Europe,,924,,"207,043"
238,Channel Islands,20,830,B,0
239,Denmark,,208,B,"31,827"
240,Estonia,,233,B,..
241,Faroe Islands,,234,B,0
242,Finland,21,246,B,"2,174"
243,Iceland,,352,B,43
244,Ireland,,372,B,360
245,Isle of Man,,833,B,0
246,Latvia,,428,B,..
247,Lithuania,,440,B,..
248,Norway,22,578,B,"19,581"
249,Sweden,,752,B,"109,663"
250,United Kingdom,,826,B,"43,395"
251,Southern Europe,,925,,"33,975"
252,Albania,,8,B,"3,000"
253,Andorra,,20,C,0
254,Bosnia and Herzegovina,,70,I R,..
255,Croatia,,191,B R,..
256,Gibraltar,,292,B,0
257,Greece,,300,B,"8,488"
258,Holy See,23,336,I,0
259,Italy,,380,B,"12,379"
260,Malta,,470,B,0
261,Montenegro,,499,B,..
262,North Macedonia,,807,B,0
263,Portugal,,620,B,867
264,San Marino,,674,C,0
265,Serbia,24,688,B,938
266,Slovenia,,705,B,..
267,Spain,25,724,B,"8,303"
268,Western Europe,,926,,"1,036,584"
269,Austria,,40,B,"37,172"
270,Belgium,,56,B,"25,721"
271,France,,250,B,"193,000"
272,Germany,,276,B,"722,250"
273,Liechtenstein,,438,B,0
274,Luxembourg,,442,B,344
275,Monaco,,492,B,0
276,Netherlands,,528,B,"17,154"
277,Switzerland,,756,B,"40,943"
278,NORTHERN AMERICA,,918,,"610,144"
279,Bermuda,,60,B,0
280,Canada,,124,B,"145,257"
281,Greenland,,304,B,0
282,Saint Pierre and Miquelon,,666,B,0
283,United States of America,,840,B,"464,887"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,United Nations
,,,,,Population Division
,,,,,Department of Economic and Social Affairs
,,,,,
,,,,,Workbook: UN_MigrantStockTotal_2019.xlsx
,,,,,ANNEX. Classification of countries and areas by major area and region
,,,,,
,,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/"
"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,
,,,,,
,,,,,
Index,"Region, subregion, country or area",Notes,Code,Type of data,More Developed Regions
1,WORLD,,900,,
2,UN development groups,,,,
3,More developed regions,b,901,,
4,Less developed regions,c,902,,
5,Least developed countries,d,941,,
6,"Less developed regions, excluding least developed countries",,934,,
7,World Bank income groups,,,,
8,High-income countries,e,1503,,
9,Middle-income countries,e,1517,,
10,Upper-middle-income countries,e,1502,,
11,Lower-middle-income countries,e,1501,,
12,Low-income countries,e,1500,,
13,No income group available,e,1518,,
14,Geographic regions,,,,
15,Africa,,903,,
16,Asia,,935,,
17,Europe,,908,,
18,Latin America and the Caribbean,,904,,
19,Northern America,,905,,
20,Oceania,,909,,
21,Sustainable Development Goal (SDG) regions,f,,,
22,SUB-SAHARAN AFRICA,,947,,
23,Eastern Africa,,910,,
24,Burundi,,108,B R,
25,Comoros,,174,B,
26,Djibouti,,262,B R,
27,Eritrea,,232,I,
28,Ethiopia,,231,B R,
29,Kenya,,404,B R,
30,Madagascar,,450,C,
31,Malawi,,454,B R,
32,Mauritius,1,480,C,
33,Mayotte,,175,B,
34,Mozambique,,508,B R,
35,Réunion,,638,B,
36,Rwanda,,646,B R,
37,Seychelles,,690,B,
38,Somalia,,706,I R,
39,South Sudan,,728,B R,
40,Uganda,,800,B R,
41,United Republic of Tanzania,2,834,B R,
42,Zambia,,894,B R,
43,Zimbabwe,,716,B R,
44,Middle Africa,,911,,
45,Angola,,24,B R,
46,Cameroon,,120,B,
47,Central African Republic,,140,C,
48,Chad,,148,B R,
49,Congo,,178,B,
50,Democratic Republic of the Congo,,180,B R,
51,Equatorial Guinea,,226,C,
52,Gabon,,266,C,
53,Sao Tome and Principe,,678,C,
54,Southern Africa,,913,,
55,Botswana,,72,B,
56,Eswatini,,748,B R,
57,Lesotho,,426,C R,
58,Namibia,,516,B,
59,South Africa,,710,B R,
60,Western Africa,,914,,
61,Benin,,204,C B R,
62,Burkina Faso,,854,B R,
63,Cabo Verde,,132,B,
64,Côte d'Ivoire,,384,C B,
65,Gambia,,270,B,
66,Ghana,,288,B,
67,Guinea,,324,C B R,
68,Guinea-Bissau,,624,B R,
69,Liberia,,430,B,
70,Mali,,466,B R,
71,Mauritania,,478,C R,
72,Niger,,562,B R,
73,Nigeria,,566,C R,
74,Saint Helena,3,654,C,
75,Senegal,,686,B R,
76,Sierra Leone,,694,B R,
77,Togo,,768,C R,
78,NORTHERN AFRICA AND WESTERN ASIA,,1833,,
79,Northern Africa,,912,,
80,Algeria,,12,B R,
81,Egypt,,818,B R,
82,Libya,,434,C,
83,Morocco,,504,C,
84,Sudan,4,729,B R,
85,Tunisia,,788,C,
86,Western Sahara,,732,I,
87,Western Asia,,922,,
88,Armenia,,51,B R,
89,Azerbaijan,5,31,B R,
90,Bahrain,,48,C,
91,Cyprus,6,196,B,
92,Georgia,7,268,B,
93,Iraq,,368,C R,
94,Israel,,376,B R,
95,Jordan,,400,C R,
96,Kuwait,,414,C R,
97,Lebanon,,422,B R,
98,Oman,,512,C,
99,Qatar,,634,C,
100,Saudi Arabia,,682,C R,
101,State of Palestine,8,275,B,
102,Syrian Arab Republic,,760,C R,
103,Turkey,,792,B R,
104,United Arab Emirates,,784,C R,
105,Yemen,,887,CR,
106,CENTRAL AND SOUTHERN ASIA,,921,,
107,Central Asia,,5500,,
108,Kazakhstan,,398,B,
109,Kyrgyzstan,,417,B,
110,Tajikistan,,762,B,
111,Turkmenistan,,795,B,
112,Uzbekistan,,860,B,
113,Southern Asia,,5501,,
114,Afghanistan,,4,B,
115,Bangladesh,,50,B R,
116,Bhutan,,64,B,
117,India,,356,B R,
118,Iran (Islamic Republic of),,364,B R,
119,Maldives,,462,C,
120,Nepal,,524,B R,
121,Pakistan,,586,B R,
122,Sri Lanka,,144,B R,
123,EASTERN AND SOUTH-EASTERN ASIA,,1832,,
124,Eastern Asia,,906,,
125,China,9,156,C,
126,"China, Hong Kong SAR",10,344,B,
127,"China, Macao SAR",11,446,B,
128,Dem. People's Republic of Korea,,408,I,
129,Japan,,392,C,Y
130,Mongolia,,496,C,
131,Republic of Korea,,410,C,
132,South-Eastern Asia,,920,,
133,Brunei Darussalam,,96,B,
134,Cambodia,,116,B,
135,Indonesia,,360,B R,
136,Lao People's Democratic Republic,,418,C R,
137,Malaysia,12,458,C R,
138,Myanmar,,104,C,
139,Philippines,,608,C R,
140,Singapore,,702,B,
141,Thailand,,764,B R,
142,Timor-Leste,,626,B,
143,Viet Nam,,704,C R,
144,LATIN AMERICA AND THE CARIBBEAN,,1830,,
145,Caribbean,,915,,
146,Anguilla,,660,B,
147,Antigua and Barbuda,,28,B,
148,Aruba,,533,B,
149,Bahamas,,44,B,
150,Barbados,,52,B,
151,British Virgin Islands,,92,B,
152,"Bonaire, Sint Eustatius and Saba",13,535,B,
153,Cayman Islands,,136,C,
154,Cuba,,192,B,
155,Curaçao,,531,B,
156,Dominica,,212,B,
157,Dominican Republic,,214,B,
158,Grenada,,308,B,
159,Guadeloupe,14,312,B,
160,Haiti,,332,B,
161,Jamaica,,388,B,
162,Martinique,,474,B,
163,Montserrat,,500,B,
164,Puerto Rico,,630,B,
165,Saint Kitts and Nevis,,659,B,
166,Saint Lucia,,662,B,
167,Saint Vincent and the Grenadines,,670,B,
168,Sint Maarten (Dutch part),,534,B,
169,Trinidad and Tobago,,780,B,
170,Turks and Caicos Islands,,796,B,
171,United States Virgin Islands,,850,B,
172,Central America,,916,,
173,Belize,,84,B R ,
174,Costa Rica,,188,B R,
175,El Salvador,,222,B R,
176,Guatemala,,320,B R,
177,Honduras,,340,B R,
178,Mexico,,484,B R,
179,Nicaragua,,558,B R,
180,Panama,,591,B,
181,South America,,931,,
182,Argentina,,32,B,
183,Bolivia (Plurinational State of),,68,B,
184,Brazil,,76,B,
185,Chile,,152,B,
186,Colombia,,170,B,
187,Ecuador,,218,B R,
188,Falkland Islands (Malvinas),15,238,B,
189,French Guiana,,254,B,
190,Guyana,,328,B,
191,Paraguay,,600,B,
192,Peru,,604,B,
193,Suriname,,740,C,
194,Uruguay,,858,B,
195,Venezuela (Bolivarian Republic of),,862,B,
199,OCEANIA,,909,,
196,Australia / New Zealand,,927,,
197,Australia,16,36,B,Y
198,New Zealand,,554,B,Y
200,Melanesia,,928,,
201,Fiji,,242,B,
202,New Caledonia,,540,B,
203,Papua New Guinea,,598,C R,
204,Solomon Islands,,90,B,
205,Vanuatu,,548,B,
206,Micronesia,,954,,
207,Guam,,316,B,
208,Kiribati,,296,B,
209,Marshall Islands,,584,B,
210,Micronesia (Fed. States of),,583,B,
211,Nauru,,520,C,
212,Northern Mariana Islands,,580,B,
213,Palau,,585,B,
214,Polynesia,17,957,,
215,American Samoa,,16,B,
216,Cook Islands,,184,B,
217,French Polynesia,,258,B,
218,Niue,,570,B,
219,Samoa,,882,B,
220,Tokelau,,772,B,
221,Tonga,,776,B,
222,Tuvalu,,798,C,
223,Wallis and Futuna Islands,,876,B,
224,EUROPE AND NORTHERN AMERICA,,1829,,
225,EUROPE,,917,,
226,Eastern Europe,,923,,
227,Belarus,,112,B,Y
228,Bulgaria,,100,B,Y
229,Czechia,,203,C,Y
230,Hungary,,348,B R,Y
231,Poland,,616,B,Y
232,Republic of Moldova,18,498,B,Y
233,Romania,,642,B,Y
234,Russian Federation,,643,B,Y
235,Slovakia,,703,B,Y
236,Ukraine,19,804,B,Y
237,Northern Europe,,924,,
238,Channel Islands,20,830,B,Y
239,Denmark,,208,B,Y
240,Estonia,,233,B,Y
241,Faroe Islands,,234,B,Y
242,Finland,21,246,B,Y
243,Iceland,,352,B,Y
244,Ireland,,372,B,Y
245,Isle of Man,,833,B,Y
246,Latvia,,428,B,Y
247,Lithuania,,440,B,Y
248,Norway,22,578,B,Y
249,Sweden,,752,B,Y
250,United Kingdom,,826,B,Y
251,Southern Europe,,925,,
252,Albania,,8,B,Y
253,Andorra,,20,C,Y
254,Bosnia and Herzegovina,,70,I R,Y
255,Croatia,,191,B R,Y
256,Gibraltar,,292,B,Y
257,Greece,,300,B,Y
258,Holy See,23,336,I,Y
259,Italy,,380,B,Y
260,Malta,,470,B,Y
261,Montenegro,,499,B,Y
262,North Macedonia,,807,B,Y
263,Portugal,,620,B,Y
264,San Marino,,674,C,Y
265,Serbia,24,688,B,Y
266,Slovenia,,705,B,Y
267,Spain,25,724,B,Y
268,Western Europe,,926,,
269,Austria,,40,B,Y
270,Belgium,,56,B,Y
271,France,,250,B,Y
272,Germany,,276,B,Y
273,Liechtenstein,,438,B,Y
274,Luxembourg,,442,B,Y
275,Monaco,,492,B,Y
276,Netherlands,,528,B,Y
277,Switzerland,,756,B,Y
278,NORTHERN AMERICA,,918,,
279,Bermuda,,60,B,Y
280,Canada,,124,B,Y
281,Greenland,,304,B,Y
282,Saint Pierre and Miquelon,,666,B,Y
283,United States of America,,840,B,Y
,,,,,
,,,,,
,,,,,
,,,,,
United Nations,,,,,
Population Division,,,,,
Department of Economic and Social Affairs,,,,,
,,,,,
,Workbook: UN_MigrantStockTotal_2019.xlsx,,,,
,NOTES,,,,
,,,,,
"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,
,,,,,
,,,,,
NOTES,,,,,
*,"The designations employed and the material in this publication do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory or area or its authorities, or concerning the delimitation of its frontiers or boundaries. The term “country” as used in this publication also refers, as appropriate, to territories or areas. The names and composition of geographical areas follow those presented in “Standard country or area codes for statistical use” (ST/ESA/STAT/SER.M/49/Rev.3), available at http://unstats.un.org/unsd/methods/m49/m49.htm.",,,,
(a),"The column labeled “Type of data” indicates the type of data used in deriving the estimates presented. The codes used are: B, which indicates that estimates were derived from data on the foreign-born population; C, which indicates that estimates were derived from data on foreign citizens; R, which indicates that the number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the estimates, and I, which indicates that there were no data on international migrants for the country or area concerned and that the estimates presented were imputed. ",,,,
(b),"The designations “more developed regions” and “less developed regions” are intended for statistical convenience and do not necessarily express a judgement about the stage reached by a particular country or area in the development process. More developed regions comprise Europe, Northern America, Australia, New Zealand, and Japan.",,,,
(c),"Less developed regions comprise all regions of Africa, Asia (excluding Japan), Latin America and the Caribbean plus Melanesia, Micronesia and Polynesia.",,,,
(d),"The group of least developed countries, as defined by the United Nations General Assembly, currently comprises 47 countries: Afghanistan, Angola, Bangladesh, Benin, Bhutan, Burkina Faso, Burundi, Cambodia, Central African Republic, Chad, Comoros, Democratic Republic of the Congo, Djibouti, Eritrea, Ethiopia, Gambia, Guinea, Guinea-Bissau, Haiti, Kiribati, Lao People’s Democratic Republic, Lesotho, Liberia, Madagascar, Malawi, Mali, Mauritania, Mozambique, Myanmar, Nepal, Niger, Rwanda, São Tomé and Príncipe, Senegal, Sierra Leone, Solomon Islands, Somalia, South Sudan, Sudan, Timor-Leste, Togo, Tuvalu, Uganda, United Republic of Tanzania, Vanuatu, Yemen and Zambia.",,,,
(e),"The country classification by income level is based on June 2018 GNI per capita from the World Bank. As data on the GNI are not available for all countries or areas, the migrant stock figures by income groups do not add up to the world total. See Annex for details.",,,,
(f),"Countries and areas are grouped into seven Sustainable Development Goal (SDG) regions as defined by the United Nations Statistics Division and used for The Sustainable Development Goals Report (https://unstats.un.org/sdgs/indicators/regional-groups/). The seven SDG regions are: Sub-Saharan Africa, Northern Africa and Western Asia, Central and Southern Asia, Eastern and South-Eastern Asia, Latin America and the Caribbean, Oceania, and Europe and Northern America.   These regions are further divided into 22 geographic subregions. Because of the magnitude of migrant stock in the SDG region Europe and Northern America and to maintain continuity with previous revisions of the international migrant stock produced by the Population Division, Europe, combining the four subregions Eastern Europe, Northern Europe, Southern Europe and Western Europe, and the subregion Northern America are also presented separately. The names and composition of geographical areas follow those of “Standard country or area codes for statistical use” available at http://unstats.un.org/unsd/methods/m49/m49.htm as of 1 June 2019.",,,,
(g),"Population estimates by sex are not available for some small countries or areas. Consequently, aggregates may not add up.",,,,
-1,"Including Agalega, Rodrigues and Saint Brandon.",,,,
-2,Including Zanzibar.,,,,
-3,Including Ascension and Tristan da Cunha.,,,,
-4,The estimates for 1990 to 2005 refer to Sudan and South Sudan.,,,,
-5,Including Nagorno-Karabakh.,,,,
-6,Including Northern-Cyprus.,,,,
-7,Including Abkhazia and South Ossetia.,,,,
-8,Including East Jerusalem.  Refugees are not part of the foreign-born migrant stock in the State of Palestine.,,,,
-9,"For statistical purposes, the data for China do not include Hong Kong and Macao and Special Administrative Regions (SAR) of China.",,,,
-10,"As of 1 July 1997, Hong Kong became a Special Administrative Region (SAR) of China.",,,,
-11,"As of 20 December 1999, Macao became a Special Administrative Region (SAR) of China.",,,,
-12,Including Sabah and Sarawak.,,,,
-13,The estimates of migrant stock for 1990 to 2005 refer to the former Netherlands Antilles.,,,,
-14,Including Saint-Barthélemy and Saint-Martin (French part).,,,,
-15,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).,,,,
-16,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",,,,
-17,Including Pitcairn.,,,,
-18,Including Transnistria.,,,,
-19,Including Crimea.,,,,
-20,"Refers to Guernsey, and Jersey.",,,,
-21,Including Åland Islands.,,,,
-22,Including Svalbard and Jan Mayen Islands.,,,,
-23,Refers to the Vatican City State.,,,,
-24,Including Kosovo. The estimates of migrant stock for 1990 to 2005 refer to Serbia and Montenegro.,,,,
-25,"Including Canary Islands, Ceuta and Melilla.",,,,
