"Sort
order","Major area, region, country or area of destination",Total
(f),"Countries and areas are grouped into seven Sustainable Development Goal (SDG) regions as defined by the United Nations Statistics Division and used for The Sustainable Development Goals Report (https://unstats.un.org/sdgs/indicators/regional-groups/). The seven SDG regions are: Sub-Saharan Africa, Northern Africa and Western Asia, Central and Southern Asia, Eastern and South-Eastern Asia, Latin America and the Caribbean, Oceania, and Europe and Northern America.   These regions are further divided into 22 geographic subregions. Because of the magnitude of migrant stock in the SDG region Europe and Northern America and to maintain continuity with previous revisions of the international migrant stock produced by the Population Division, Europe, combining the four subregions Eastern Europe, Northern Europe, Southern Europe and Western Europe, and the subregion Northern America are also presented separately. The names and composition of geographical areas follow those of “Standard country or area codes for statistical use” available at http://unstats.un.org/unsd/methods/m49/m49.htm as of 1 June 2019.",
(g),"Population estimates by sex are not available for some small countries or areas. Consequently, aggregates may not add up.",
-1,"Including Agalega, Rodrigues and Saint Brandon.",
-2,Including Zanzibar.,
-3,Including Ascension and Tristan da Cunha.,
-4,The estimates for 1990 to 2005 refer to Sudan and South Sudan.,
-5,Including Nagorno-Karabakh.,
-6,Including Northern-Cyprus.,
-7,Including Abkhazia and South Ossetia.,
-8,Including East Jerusalem.  Refugees are not part of the foreign-born migrant stock in the State of Palestine.,
-9,"For statistical purposes, the data for China do not include Hong Kong and Macao and Special Administrative Regions (SAR) of China.",
-10,"As of 1 July 1997, Hong Kong became a Special Administrative Region (SAR) of China.",
-11,"As of 20 December 1999, Macao became a Special Administrative Region (SAR) of China.",
-12,Including Sabah and Sarawak.,
-13,The estimates of migrant stock for 1990 to 2005 refer to the former Netherlands Antilles.,
-14,Including Saint-Barthélemy and Saint-Martin (French part).,
-15,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).,
-16,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",
-17,Including Pitcairn.,
-18,Including Transnistria.,
-19,Including Crimea.,
-20,"Refers to Guernsey, and Jersey.",
-21,Including Åland Islands.,
-22,Including Svalbard and Jan Mayen Islands.,
-23,Refers to the Vatican City State.,
-24,Including Kosovo. The estimates of migrant stock for 1990 to 2005 refer to Serbia and Montenegro.,
-25,"Including Canary Islands, Ceuta and Melilla.",
