2019,2019023,Eastern Africa,,910,,"7,908,176","342,063","104,076",0,0,0,0,0,"69,604",0,0,0,0,0,349,0,0,0,0,"8,751",0,0,865,0,0,0,0,0,0,0,"4,992",0,0,0,0,0,"514,783","6,843",0,275,762,0,"4,690","5,315",0,0,"7,293",23,0,0,"72,898","43,622",0,0,56,0,59,0,0,0,131,"1,011,017",154,"3,996",0,0,0,"5,460",0,0,"242,254",0,78,"82,658",0,0,0,0,"108,143",0,0,0,0,0,"1,613",198,0,35,0,0,0,0,0,0,0,0,0,0,0,8,0,"39,435",142,0,0,50,0,0,"1,147",0,305,0,0,"101,219",0,0,0,0,0,0,"8,002",0,156,0,0,0,"35,101","189,239",61,38,454,0,0,0,0,"5,867","6,606",0,0,0,0,0,0,0,"196,287",0,"1,353",0,176,191,0,0,0,0,"9,717",0,0,0,7,0,"3,298",0,0,0,0,0,712,0,"4,565",0,0,154,0,846,0,418,"164,529",0,0,0,0,0,0,0,0,0,161,0,"17,457",0,0,0,0,0,0,"1,068,694","53,290","1,666,704",104,"1,740",0,"696,442",0,25,105,0,0,241,0,3,0,0,0,0,0,0,0,0,"563,176",0,0,"18,343","158,765","3,144",0,0,0,0,0,0,0,0,"7,479","87,600","151,564",,,,,
2019,2019024,Burundi,,108,B R,"321,018","26,143","3,591",,,,,,,,,,,,,,,,,,,,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"185,833",,,,,,,,,,,,,,,,,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71,294",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986,,,,"31,024",,,,,,,,,,,,,,,,,
2019,2019025,Comoros,,174,B,"12,504",754,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,"9,611",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,,,,,
2019,2019026,Djibouti,,262,B R,"115,341","5,178","1,723",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,518",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,,,,,,,
2019,2019027,Eritrea,,232,I,"16,101","1,693",565,,,,,,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,056",,,,,,,,,,136,,,,193,,,,,,,,,,,"1,704",,,,,,,,,,,,109,,,,,440,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,354,,,,,,,,,,,,,,779,,,,,,,,,,,,,,,,,"1,118",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471,,,,,,,,,,,,,,,,,,,"2,481",123,"1,504",,,,210,,,,,,,,,,,,,,,,,"1,539",,,56,531,,,,,,,,,,,243,327,,,,,
2019,2019028,Ethiopia,,231,B R,"1,253,083","20,738","6,913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,,,,,,,,,,,,,,,,,,,,,,,,,"1,706",,"3,996",,,,,,,"222,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,"477,774",,"476,311",,,,"42,651",,,,,,,,,,,,,,,,,235,,,,,,,,,,,,,,156,,,,,,,
2019,2019029,Kenya,,404,B R,"1,044,854","47,950","25,747",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,706",,,,,,,,,,,,,,,,,,,,,,,,,"22,937",,,,,,,,,"1,972",,,"34,203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,869",,,,,,,,,,,,,,,,,,,"452,919",103,"88,793",,,,"9,518",,,,,,,,,,,,,,,,,"309,490",,,,"37,027",,,,,,,,,,,,,,,,,
2019,2019030,Madagascar,,450,C,"34,934","4,168","5,211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,155",,,,"11,932",,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,747",,,,,,,,,,,,,,,,,,,,,,,"1,721",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019031,Malawi,,454,B R,"247,652","38,330","11,878",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,849",,,,,,,,,,,,,,,"11,560",,,,,,,,,,"9,406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,108",,,,,,,,,,,,,,,,,,,71,"8,292",,,,,,,,,,,,,,,,,,,,,,,,,"1,481","9,644",,,,,,,,,,,"42,971","37,294",,,,,
2019,2019032,Mauritius,1,480,C,"28,849","1,373",192,,,,,,,,,,,,,,,,,"8,403",,,119,,,,,,,,,,,,,,,,,,36,,,,,,"2,978",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,518",,,,,,137,,,,,,,,,,,,,,,,,"8,741",,,,50,,,147,,9,,,,,,,,,,,,,,,,"2,298",,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,,,,,,,,,,,,,,,49,,,,,,,,,,,,,125,,,,,,,,627,,27,"1,136",,,,,105,,,,,,,,,,,,,,,,,458,,49,,,,,,,,,,,,,,,,
2019,2019033,Mayotte,,175,B,"74,643",774,771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,991",,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,743",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019034,Mozambique,,508,B R,"334,665","4,214","12,642",,,,,,"39,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,121","6,843",,,,,,,,,,,,,,,,,,,,,,,,"11,497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,464",,,,,,,,,,,,"24,863",,,,,,,"7,869",,,,,,,"62,854",,,,,,,,,,,,,,,,,,,,,,,,,,,"5,375",,,,,,"1,417",,,,,,,,"4,565",,,,,,,,,,,,,,,,,,,,"16,997",,,,,,,,"20,239",,,,,,,,,,,,,,,,,,,,,,,,,,"7,449",,,,,,,,,,,"5,333","97,699",,,,,
2019,2019035,Réunion,,638,B,"129,153","7,544","5,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,"85,340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,019",,,,,,,,,"5,136","6,606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019036,Rwanda,,646,B R,"539,932","6,576","2,709",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"137,669",,,,,,,,,,,,,,,,,,,,,,,,,"248,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96,724",,,,"44,877",,,,,,,,,,,,,,,,,
2019,2019037,Seychelles,,690,B,"12,926",287,153,,,,,,,,,,,,51,,,,,222,,,38,,,,,,,,,,,,,,,,,,,,,,,,515,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,241,,,,,,85,,,,,,,,,,,,,,,,,"6,550",142,,,,,,123,,,,,413,,,,,,,,,,,,,809,,,38,,,,,,559,,,,,,,,,,,,,176,,,,,,137,,,,,,24,,,,,,712,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,64,257,,24,604,,,,,,,,241,,,,,,,,,,,28,,,293,,,,,,,,,,,,,,,,,,
2019,2019038,Somalia,,706,I R,"52,131","16,440","9,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,"19,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,051",,,,,,,
2019,2019039,South Sudan,,728,B R,"865,552","2,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,690","5,315",,,,,,,,,,,,,,,,,,"89,982",,,,,,"5,275",,,"3,402",,,"13,110",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,449",,,,,,,,,,,,"9,800",,,,,,,,,156,,,,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,"3,626",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"576,668",,,,,,,,,,,,,,,,,"149,303",,,,,,,,,,,,,,,,,,,,,
2019,2019040,Uganda,,800,B R,"1,734,166","2,494",41,,,0,,,,,,,,,,,,,,126,,,38,,,,,,,,,,,,,,"54,494",,,,237,,,,,,366,,,,,,,,56,,16,,,,131,"315,753",154,,,,,0,,,"14,592",,,"3,238",,,,,222,,,,0,,209,0,,35,,,,,,,,,,,,8,,"3,524",,,,,,,362,,183,,,"36,822",,,,,,,,,0,,,,,6,,,,,,,0,,,,,,,,,,26,,,,,191,,,,,3,,,,7,,"1,070",,,,,,,,,,,154,,,,272,"70,635",,,,,,,,,,0,,,,,,,,,"37,207",,"1,100,096",53,,,"67,395",,25,,,,,,3,,,,,,,,,,,,"1,074","21,979",861,,,,,,,,,,6,2,,,,,
2019,2019041,United Republic of Tanzania,2,834,B R,"509,166","27,623","9,208",,,,,,"1,123",,,,,,,,,,,,,,,,,,,,,,126,,,,,,"295,436",,,,263,,,,,,,,,,534,"22,434",,,,,,,,,,"79,456",,,,,,,,,,,78,,,,,,,,,,,,867,,,,,,,,,,,,,,,,,"7,187",,,,,,,515,,,,,"24,434",,,,,,,133,,,,,,,"6,194",,,,,,,,172,,,,,,,,,"13,138",,577,,,,,,,,,,,,,,599,,,,,,,,,,,,,,,,521,,,,,,,,,,,,335,,,,,,,"2,660",638,,,,,,,,,,,,,,,,,,,,,,"4,355",,,951,,"1,157",,,,,,,,,,"7,688",764,,,,,
2019,2019042,Zambia,,894,B R,"170,249","17,655","1,889",,,,,,"28,908",,,,,,298,,,,,,,,,,,,,,,,"1,041",,,,,,"6,258",,,275,226,,,,,,"1,143",,,,,"9,628",,,,,,,,,,"44,073",,,,,,185,,,,,,,,,,,78,,,,,,315,198,,,,,,,,,,,,,,,,"5,255",,,,,,,,,113,,,608,,,,,,,,,,,,,,"12,355",,,246,,,,,,,,,,,,,,"1,476",,713,,,,,,,,576,,,,,,,,,,,,,,,,,,,,,,"8,470",,,,,,,,,,161,,,,,,,,,,"3,487",,,,,,,,,,,,,,,,,,,,,,516,,,"1,458","6,090","1,077",,,,,,,,,,,"15,478",,,,,
2019,2019043,Zimbabwe,,716,B R,"411,257","109,561","5,737",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107,051",,,,,,,,,,,,,,,,,"121,628",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,524",,,,,,,,,,,,,,,,,,,,,,,,,"12,572",,,,,,,,,,,,"31,359",,,,,,
2019,2019044,Middle Africa,,911,,"3,785,279","637,308","201,369",0,0,108,0,0,"225,593",0,0,0,0,0,11,23,0,0,0,0,0,0,496,0,"69,911",0,0,0,0,0,0,0,0,0,0,"6,938","59,991","10,637",0,"96,733",676,0,"722,035","52,765",0,0,"1,294",0,0,0,0,"27,527",0,0,"16,263",0,552,0,7,0,158,"300,299",2,0,0,0,0,42,0,"91,482",0,0,0,0,0,0,0,0,"48,099",0,0,"5,211",0,0,980,"6,314",0,193,0,0,0,0,0,"28,098",0,0,0,0,0,0,0,0,0,0,0,11,0,16,589,0,30,0,0,0,0,0,0,0,0,"3,683",0,"4,328","1,433",0,0,0,0,0,0,0,"98,383",0,0,0,"3,245",0,0,0,0,0,0,0,0,709,359,0,909,0,0,197,0,0,0,"14,100","175,465",0,0,0,0,0,0,0,0,0,0,0,0,0,"7,303",0,0,192,0,0,0,"2,806","281,609",0,0,0,0,0,0,0,"15,171",0,"47,152",0,0,0,0,0,0,47,0,0,"6,491","92,018","1,406",0,0,"381,975",0,13,161,27,0,0,0,"25,362",0,0,0,221,7,0,0,0,"6,019",0,0,258,0,"2,155",0,0,0,0,0,0,0,0,0,314,0,,,,,
2019,2019045,Angola,,24,B R,"669,479","383,658","127,885",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",,,,,,"1,928",,,,,,,,"1,081",,,"12,896",,,,,,,"92,242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,,909,,,,,,,,,,,,,,,,,,,,,,"5,711",,,,,,,,"1,286",,,,,,,,"6,990",,,,,,,,,,,,"6,421",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,,,,,,
2019,2019046,Cameroon,,120,B,"505,692","10,296","3,432",,,,,,"2,599",,,,,,,,,,,,,,,,"2,441",,,,,,,,,,,,,,,,181,,"264,537","24,318",,,,,,,,"3,004",,,,,,,,,,"4,148",,,,,,,,"3,415",,,,,,,,,"4,695",,,"1,073",,,298,,,193,,,,,,"4,656",,,,,,,,,,,,,,,516,,,,,,,,,,,,,"4,328",,,,,,,,,"8,344",,,,,,,,,,,,,,,,,,,161,,,,"10,684","148,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,,832,,,,,,,,,,,,,,,,
2019,2019047,Central African Republic,,140,C,"90,649","19,597","6,533",,,,,,,,,,,,11,23,,,,,,,,,,,,,,,,0,,,,,,,,,206,,,"11,141",,,,,,,,,,,,,,,7,,,"19,128",2,,,,,42,,,,,,,,,,,"10,645",,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,73,,,,,,,,,,,,,,,,,,,,,,334,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,81,,,,,,,,,47,,,57,0,,,,"21,726",,13,161,,,,,9,,,,,7,,,,,,,,,608,,,,,,,,,,,,,,,,
2019,2019048,Chad,,148,B R,"512,230","11,806","3,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,936",,,"96,813",,,,,,,,,934,,,,,,,,,,335,,,,,,,,,,,,,,,,,"1,158",,,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,416","3,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"354,817",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019049,Congo,,178,B,"402,142","6,532","2,177",,,,,,"42,506",,,,,,,,,,,,,,,,"15,661",,,,,,,,,,,,,,,"11,647",,,"33,701","10,889",,,952,,,,,,,,,,552,,,,,"175,608",,,,,,,,"1,630",,,,,,,,,"10,637",,,"3,260",,,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,202",,,,,,,,,,,"34,961",,,,"3,245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,485",,,,,,,"2,655","25,891",,,,,,,,,,"13,673",,,,,,,,,,,,,,,,,,,,,,,"2,511",,,,,,,,,,,,,,171,,,,,,,,,,,,,,,,
2019,2019050,Democratic Republic of the Congo,,180,B R,"963,833","22,221","11,729",,,,,,"179,065",,,,,,,,,,,,,,,,,,,,,,,,,,,,"59,826",,,,,,"326,984",,,,,,,,,"6,314",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"254,225",,,,,,,,,,,,,,,,,,,,,"92,018",,,,"5,432",,,,,,,,,,,,,,,,,"6,019",,,,,,,,,,,,,,,,,,,,,
2019,2019051,Equatorial Guinea,,226,C,"227,617","174,400","43,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,017",,,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,642",,,,,,,,,,,,,,"1,406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019052,Gabon,,266,C,"411,463","8,762","2,061",,,108,,,"1,098",,,,,,,,,,,,,,496,,"51,809",,,,,,,,,,,"6,938",165,,,"50,273",289,,,"4,489",,,342,,,,,"16,194",,,"3,367",,,,,,158,"8,838",,,,,,,,"86,305",,,,,,,,,"15,947",,,,,,86,"6,314",,,,,,,,"4,938",,,,,,,,,,,,,,16,,,30,,,,,,,,,"2,481",,,,,,,,,,,"54,744",,,,,,,,,,,,,709,,,,,,,,,,,"23,730",,,,,,,,,,,,,,,,,192,,,,,207,,,,,,,,"6,458",,"30,272",,,,,,,,,,13,,,,,,,,,27,,,,"22,842",,,,221,,,,,,,,,,544,,,,,,,,,,,,,,,,
2019,2019053,Sao Tome and Principe,,678,C,"2,174",36,17,,,,,,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019054,Southern Africa,,913,,"4,481,651","893,346","297,351",206,280,"1,278",0,0,"110,153",0,485,"4,195",64,0,"13,612","10,063",0,50,334,"4,462",48,414,"14,105",0,496,101,0,280,0,351,"74,144","5,683",34,34,"6,912",73,"12,332",0,0,"4,440","10,362",0,202,0,0,"1,197","49,139","2,822",0,"1,035",340,"35,672",0,0,"2,050","1,747","3,382",0,"8,600","3,564",338,"58,835","4,882",0,0,0,0,"8,263",0,0,997,250,"93,458","5,676",0,0,76,"1,211","13,809",0,0,541,88,0,"109,010","11,909",91,"15,804",0,0,0,0,154,185,48,95,0,0,0,0,49,"48,907","2,220","1,258",285,"21,877",0,"7,929","42,225",336,"3,175",95,0,"31,133",0,154,59,49,732,"1,665","331,941","1,355",315,0,699,83,"1,309","110,377","1,590",95,184,592,0,0,0,"15,225",0,497,0,39,0,0,0,"1,896","726,673",373,"185,492",34,217,"36,381",0,"5,547",185,32,"31,220",32,205,39,"2,390",49,"18,383",0,99,99,202,351,"2,871","17,423","48,535",0,0,"2,946",0,582,"2,858","6,411","9,020",390,39,0,0,0,0,0,0,"1,079","4,858","6,783","1,229","1,031","1,590",0,733,0,0,"33,093","29,781",106,"2,900","2,715",163,"5,404",0,960,"3,878",200,0,"1,605",0,0,0,0,39,195,"2,006",0,0,0,"9,509","6,928",308,"134,409","18,812","20,121",0,195,0,0,521,278,0,0,151,"105,305","456,185",,,,,
2019,2019055,Botswana,,72,B,"110,596","5,340","1,769",,,,,,782,,,,,,393,,,,,,,,,,,,,,,,,,,,,,,,,,186,,,,,,"4,792",,,,,,,,,,,,,,,"1,133",346,,,,,,,,,,611,,,,,,,,,,,,338,,,,,,,,,,,,,,,,,"5,668",,,,629,,,548,,,,,"1,215",,,,,,,279,,,,,,563,"1,484",,,,,,,,233,,,,,,,,,607,,992,,,640,,,,,"1,238",,,,393,,466,,,,,,,,466,,,,,,,,,,,,,,,,,,,,10,,,,,,,,"5,751",,,992,,,,439,,,,,,,,,,,,,,,326,,,"1,320",818,923,,,,,,,,,,"4,429","64,477",,,,,
2019,2019056,Eswatini,,748,B R,"32,310","6,607",614,,,,,,132,,,,,,54,,,,,,,,,,,,,,,,40,,,,,,462,,,,18,,,,,,,,,,,71,,,,,,,,,,664,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,45,,,,,,,,,,,,,,,,,,,,,,,"9,844",,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,382,,,,,,,,,,,,,,,,,,,301,"12,494",,,,,,,,,,,,,,,,,,,,,,54,,,,,255,,,,,,,,,,,,,,,,
2019,2019057,Lesotho,,426,C R,"6,928","1,097","1,695",,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,24,,4,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,751",,,,,,,,,,,,,,,,,,,,,,144,,,,89,93,,,,,,,,,,72,72,,,,,
2019,2019058,Namibia,,516,B,"107,561","1,837",447,44,,500,,,"39,580",,485,50,64,,554,630,,50,49,32,,,190,,160,,,,,,681,552,,,30,73,402,,,121,194,,,,,32,"3,216",,,,,"1,156",,,30,,703,,,78,103,"3,675",116,,,,,179,,,,,202,218,,,,81,554,,,,88,,"9,388",147,,,,,,,,53,,,,,,,,697,93,30,,61,,111,853,,116,,,"1,149",,,,,,47,130,,35,,,44,,382,,,,,,,,109,,,,,,,,,141,,,,,534,,50,,,"1,017",,,,53,,171,,,,,,254,173,447,,,35,,,30,469,370,,,,,,,,,,30,,57,168,,,,,,96,"8,785",,355,,,205,,103,442,,,76,,,,,,,35,,,,497,265,,"1,779","1,136","1,087",,,,,,,,,,"3,132","14,968",,,,,
2019,2019059,South Africa,,710,B R,"4,224,256","878,465","292,826",162,280,778,,,"69,659",,,"4,145",,,"12,611","9,433",,,285,"4,430",48,414,"13,915",,336,101,,280,,351,"73,310","5,131",34,34,"6,882",,"11,468",,,"4,319","9,964",,202,,,"1,165","41,004","2,822",,"1,035",340,"34,445",,,"2,020","1,747","2,679",,"8,600","3,486",235,"53,363","4,420",,,,,"8,084",,,997,250,"92,608","5,429",,,76,"1,130","13,255",,,541,,,"99,284","11,669",91,"15,804",,,,,154,132,48,95,,,,,49,"42,302","2,127","1,228",285,"21,187",,"7,818","40,824",336,"3,059",95,,"28,769",,154,59,49,732,"1,618","331,312","1,310",280,,699,39,746,"108,474","1,590",95,184,592,,,,"14,883",,497,,39,,,,"1,896","716,057",373,"184,496",34,217,"35,207",,"5,473",185,32,"28,965",32,205,39,"1,944",49,"17,506",,99,99,202,351,"2,617","17,250","47,622",,,"2,911",,582,"2,828","5,942","8,268",390,39,,,,,,,"1,079","4,828","6,783","1,162",863,"1,590",,733,,,"32,696",,106,"2,545","1,723",163,"5,199",,418,"3,436",200,,"1,529",,,,,39,195,"1,971",,,,"8,488","6,663",308,"131,310","16,769","17,763",,195,,,521,278,,,151,"97,672","376,668",,,,,
2019,2019060,Western Africa,,914,,"7,398,379","327,629","165,797",536,"1,439","13,807",446,"1,166","2,240",0,"4,249",178,8,0,46,0,4,12,2,0,10,0,175,1,"560,685",0,2,4,0,1,47,"1,163",565,0,2,"1,542,231",37,"1,140",8,"33,114",586,0,"2,181","34,243",0,"1,738","5,210",0,0,"2,503",726,"16,252",0,112,"891,261","1,120","1,793",0,0,0,"3,174","3,738",63,17,12,1,1,"1,119",3,"11,223",21,0,4,44,0,0,2,5,"23,489",0,385,"14,436","20,486",0,"1,411","459,563",0,0,0,416,"1,057",0,0,"383,427","57,240",0,23,0,284,0,0,"2,699",0,0,116,0,0,"1,565",873,0,828,1,"2,069","1,951",2,32,0,0,21,"3,966",30,"99,671","8,197",3,0,4,9,16,0,0,"1,037,695",0,5,0,"88,118",14,0,3,2,0,0,0,0,"5,821",45,1,2,17,23,340,0,1,4,"364,520","391,291",0,0,0,1,0,182,8,0,15,0,3,33,52,"2,132",0,0,480,2,0,4,"1,405","1,954",0,0,0,0,28,26,0,"1,868","3,459","228,764",1,2,"55,637",921,0,0,26,11,5,"1,974",2,"1,423",23,167,"1,298",0,216,223,641,0,553,8,"443,454",0,927,0,765,121,0,744,0,0,31,"3,498","2,274","1,006","5,016",595,565,0,0,0,4,0,"29,089",0,672,3,,,,,
2019,2019061,Benin,,204,C B R,"390,112","38,607","2,922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,784",,,,,,,,"1,032",,,,,,,,"4,029",,,"33,996",,,,,,,,,,,,,,,,,,,,,,,,"1,388",,,,,,,"16,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,472",,,,,,,,,,,,,,,,,,,,,,,"77,300","86,226",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019062,Burkina Faso,,854,B R,"718,338","34,404","13,388",,,,,,,,,,,,,,,,,,,,,,"4,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"557,732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,763",,,,,,,,,,,,,,,,,,,,,,,"13,155","5,331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,158",,,,,,,,,,,,,,,,,,,,,,,"15,874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
